"question","correct","wrong1","wrong2","wrong3"
"¿Qué jugador de Boca le anotó al Bayer Munich?", "Merentiel", "Ayrton Costa", "Marcos Rojo", "Cavani"
"¿Cual era la profesion del jugador del Auckland City que anoto el unico gol de su equipo en la competencia?", "Jugador Profesional", "Carnicero", "Docente", "Ajedrecista"
"¿Qué equipo terminó primero del Grupo A del Mundial de Clubes 2025?","Palmeiras","Inter Miami","Porto","Al Ahly"
"¿Cuál equipo sumó nueve puntos ganando todos sus partidos del Grupo G?","Manchester City","Real Madrid","Bayern Munich","Flamengo"
"¿Quién es el delantero de 21 años que lleva cuatro goles para Real Madrid en el torneo?","Gonzalo Garcia","Kylian Mbappé","Vinicius Jr.","Rodrygo"
"¿En qué estadio se disputará la final del Mundial de Clubes 2025 el 13 de julio?","MetLife Stadium","Mercedes‑Benz Stadium","Hard Rock Stadium","Rose Bowl Stadium"
"¿Con qué marcador derrotó Chelsea a Palmeiras para avanzar a semifinales?","2‑1 a favor de Chelsea","1‑0 a favor de Chelsea","3‑2 a favor de Palmeiras","2‑0 a favor de Palmeiras"
"¿Cuál es la ciudad sede del estadio donde se juega la final del torneo?","East Rutherford, New Jersey","Atlanta, Georgia","Miami, Florida","Los Ángeles, California"
"¿Qué club enfrentará Paris Saint‑Germain en la semifinal del 9 de julio?","Real Madrid","Borussia Dortmund","Bayern Munich","Manchester City"
"¿Qué club brasileño jugará la semifinal contra Chelsea?","Fluminense","Botafogo","Palmeiras","Flamengo"
"¿Qué club de la MLS comparte grupo con Palmeiras, Porto y Al Ahly?","Inter Miami","Seattle Sounders","LAFC","Atlanta United"
"¿Qué club sudafricano participa en el Grupo F del torneo?","Mamelodi Sundowns","Kaizer Chiefs","Orlando Pirates","Al Hilal"
"¿Cuál fue el resultado de la goleada de Bayern Munich sobre Auckland City?","10‑0","7‑1","5‑0","3‑0"
"¿Cuál es la bolsa total de premios que reparte el torneo, según FIFA?","1 000 millones de dólares","500 millones de dólares","750 millones de dólares","1 200 millones de dólares"
"¿Qué estadio ubicado en Atlanta albergó seis partidos, incluido un cuarto de final?","Mercedes‑Benz Stadium","Bank of America Stadium","Hard Rock Stadium","Camping World Stadium"
"¿Cuántos puntos sumó Benfica para liderar el Grupo C?","7","6","5","9"
"¿Qué equipo estadounidense quedó último en el Grupo B con cero puntos?","Seattle Sounders","Inter Miami","LAFC","Portland Timbers"
"¿Cuál de estos estadios no es sede del Mundial de Clubes 2025?","Soldier Field","Lumen Field","Lincoln Financial Field","Audi Field"
"¿Cuál fue el marcador del triunfo de Real Madrid sobre Juventus en octavos de final?","1‑0 para Real Madrid","2‑1 para Real Madrid","1‑1 (Real ganó por penales)","0‑0 (Real ganó por penales)"
"¿En qué grupo jugó Boca Juniors?","Grupo C","Grupo A","Grupo D","Grupo E"
"¿Cuál es el único club de Oceanía presente en el torneo?","Auckland City","Wellington Phoenix","Sydney FC","Lautoka"
"¿Qué equipo eliminó a Manchester City con un 4‑3 en octavos de final?","Al Hilal","Juventus","Chelsea","Seattle Sounders"
"¿Qué equipo argentino compite en el Grupo E junto a Inter Milan?","River Plate","Boca Juniors","Rosario Central","San Lorenzo"
"¿Cuántos grupos componen la fase de grupos del Mundial de Clubes 2025?","8","6","4","12"
"¿Qué estadio de Miami acogió el partido inaugural Inter Miami vs Al Ahly?","Hard Rock Stadium","GEODIS Park","TQL Stadium","Bank of America Stadium"
"¿Cuál es la capacidad aproximada del Rose Bowl Stadium, sede en Los Ángeles?","88 500 espectadores","75 000 espectadores","65 000 espectadores","30 000 espectadores"
"¿Qué jugador argentino de Inter Miami es una de las estrellas del torneo?","Lionel Messi","Angel Di María","Julian Alvarez","Lautaro Martinez"
"¿Qué club brasileño lideró el Grupo D con 7 puntos?","Flamengo","Fluminense","Palmeiras","Botafogo"
"¿Cuál fue el segundo equipo clasificado del Grupo D con 6 puntos?","Chelsea","Juventus","Bayern Munich","Benfica"
"¿Qué confederación tiene más plazas (12) en este Mundial de Clubes?","UEFA","CONMEBOL","CONCACAF","AFC"
"¿Cuál será la fecha de la final del torneo?","13 de julio de 2025","14 de julio de 2025","20 de julio de 2025","10 de julio de 2025"
"¿Qué cantante británico actuará como embajador musical de FIFA durante el torneo?","Robbie Williams","Ed Sheeran","Harry Styles","Adele"
